approved_symbol,approved_name,target_id,biotype,association_score,evidence_strength_label,gap_score,conservative_gap_score,gap_rank,gap_category,gap_interpretation_tier,symbol_ambiguity_flag,literature_mentions,literature_documents_mentioned,literature_signal_label,trial_mentions,trial_documents_mentioned,trial_signal_label,dominant_literature_theme,dominant_trial_theme,n_matched_papers,n_matched_trials,why_interesting,key_limitations,suggested_next_steps,evidence_card_path
MTOR,mechanistic target of rapamycin kinase,ENSG00000198793,protein_coding,0.4937230577264579,Lower evidence signal,0.316138,0.313868,11,High-priority gap signal,Strong text-supported gap signal,low,3,3,Moderate literature signal,0,0,No detected trial text signal,Neuroinflammation & Immune,—,1,0,MTOR combines a measurable literature signal with comparatively low clinical trial text signal in this corpus. This may suggest a research-to-translation gap — literature research appears to be ahead of registered trial activity based on lexical text matching. Manual validation is required to determine whether this reflects a genuine translational opportunity.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\MTOR_evidence_card.md
SCD,stearoyl-CoA desaturase,ENSG00000099194,protein_coding,0.4806305565235538,Lower evidence signal,0.312596,0.294769,12,High-priority gap signal,Established / trial-covered target,moderate,6,2,Moderate literature signal,9,5,Moderate trial text signal,—,—,0,0,SCD appears well represented in both literature and trial text in this corpus. It should be treated as an established or trial-covered comparator rather than a gap candidate. It may serve as a reference point for comparing less-studied targets. Note: the symbol 'SCD' may be ambiguous in biomedical or general text; mention counts require manual validation to exclude false positives.,"Symbol 'SCD' has a moderate ambiguity flag — mention counts are especially uncertain. | Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\SCD_evidence_card.md
ACE,angiotensin I converting enzyme,ENSG00000159640,protein_coding,0.6341919427542662,Moderate evidence signal,0.304741,0.344793,13,High-priority gap signal,Established / trial-covered target,moderate,1,1,Weak literature signal,4,1,Moderate trial text signal,Neuroinflammation & Immune,—,1,0,ACE appears well represented in both literature and trial text in this corpus. It should be treated as an established or trial-covered comparator rather than a gap candidate. It may serve as a reference point for comparing less-studied targets. Note: the symbol 'ACE' may be ambiguous in biomedical or general text; mention counts require manual validation to exclude false positives.,"Symbol 'ACE' has a moderate ambiguity flag — mention counts are especially uncertain. | Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\ACE_evidence_card.md
MAPT,microtubule associated protein tau,ENSG00000186868,protein_coding,0.3772403441193385,Lower evidence signal,0.286767,0.253375,14,High-priority gap signal,Strong text-supported gap signal,low,5,3,Moderate literature signal,0,0,No detected trial text signal,—,—,0,0,MAPT combines a measurable literature signal with comparatively low clinical trial text signal in this corpus. This may suggest a research-to-translation gap — literature research appears to be ahead of registered trial activity based on lexical text matching. Manual validation is required to determine whether this reflects a genuine translational opportunity.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\MAPT_evidence_card.md
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,protein_coding,0.7000358051327009,High evidence signal,0.274114,0.342642,15,High-priority gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"GRIN1 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\GRIN1_evidence_card.md
SORL1,sortilin related receptor 1,ENSG00000137642,protein_coding,0.6887135105146187,Moderate evidence signal,0.265711,0.332139,16,High-priority gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"SORL1 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\SORL1_evidence_card.md
PLCG2,phospholipase C gamma 2,ENSG00000197943,protein_coding,0.55138545916762,Moderate evidence signal,0.261364,0.286053,17,High-priority gap signal,Strong text-supported gap signal,low,1,1,Weak literature signal,0,0,No detected trial text signal,—,—,0,0,PLCG2 combines a measurable literature signal with comparatively low clinical trial text signal in this corpus. This may suggest a research-to-translation gap — literature research appears to be ahead of registered trial activity based on lexical text matching. Manual validation is required to determine whether this reflects a genuine translational opportunity.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\PLCG2_evidence_card.md
MS4A6A,membrane spanning 4-domains A6A,ENSG00000110077,protein_coding,0.5383166652061998,Moderate evidence signal,0.251666,0.27393,18,High-priority gap signal,Strong text-supported gap signal,low,1,1,Weak literature signal,0,0,No detected trial text signal,—,—,0,0,MS4A6A combines a measurable literature signal with comparatively low clinical trial text signal in this corpus. This may suggest a research-to-translation gap — literature research appears to be ahead of registered trial activity based on lexical text matching. Manual validation is required to determine whether this reflects a genuine translational opportunity.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\MS4A6A_evidence_card.md
GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,ENSG00000116032,protein_coding,0.66936011916202,Moderate evidence signal,0.251349,0.314186,19,High-priority gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"GRIN3B has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\GRIN3B_evidence_card.md
PICALM,phosphatidylinositol binding clathrin assembly protein,ENSG00000073921,protein_coding,0.5190691988271273,Moderate evidence signal,0.237382,0.256076,20,High-priority gap signal,Strong text-supported gap signal,low,1,1,Weak literature signal,0,0,No detected trial text signal,—,—,0,0,PICALM combines a measurable literature signal with comparatively low clinical trial text signal in this corpus. This may suggest a research-to-translation gap — literature research appears to be ahead of registered trial activity based on lexical text matching. Manual validation is required to determine whether this reflects a genuine translational opportunity.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\PICALM_evidence_card.md
